Type,maximum_budget,maximum_budget_unit,case_study,,,,
242,1708.072223,MtCO2e,LA-TH,,,,
243,854.0361114,MtCO2e,LA-TH,,,,
244,0,MtCO2e,LA-TH,,,,
245,254.6132588,MtCO2e,LA-TH,,,,
246,509.2265175,MtCO2e,LA-TH,,,,
247,763.8397763,MtCO2e,LA-TH,,,,
248,1018.453035,MtCO2e,LA-TH,,,,
249,1273.066294,MtCO2e,LA-TH,,,,
250,1527.679553,MtCO2e,LA-TH,,,,
251,1782.292811,MtCO2e,LA-TH,,,,
252,2036.90607,MtCO2e,LA-TH,,,,
253,1816.943757,MtCO2e,KH-TH,,,,
254,908.4718786,MtCO2e,KH-TH,,,,
255,0,MtCO2e,KH-TH,,,,
256,280.6966575,MtCO2e,KH-TH,,,,
257,561.393315,MtCO2e,KH-TH,,,,
258,842.0899725,MtCO2e,KH-TH,,,,
259,1122.78663,MtCO2e,KH-TH,,,,
260,1403.483288,MtCO2e,KH-TH,,,,
261,1684.179945,MtCO2e,KH-TH,,,,
262,1964.876603,MtCO2e,KH-TH,,,,
263,2245.57326,MtCO2e,KH-TH,,,,
264,3823.609094,MtCO2e,LA-TH-VN,,,,
265,1911.804547,MtCO2e,LA-TH-VN,,,,
266,0,MtCO2e,LA-TH-VN,,,,
267,568.5913463,MtCO2e,LA-TH-VN,,,,
268,1137.182693,MtCO2e,LA-TH-VN,,,,
269,1705.774039,MtCO2e,LA-TH-VN,,,,
270,2274.365385,MtCO2e,LA-TH-VN,,,,
271,2842.956731,MtCO2e,LA-TH-VN,,,,
272,3411.548078,MtCO2e,LA-TH-VN,,,,
273,3980.139424,MtCO2e,LA-TH-VN,,,,
274,4548.73077,MtCO2e,LA-TH-VN,,,,
275,3932.480629,MtCO2e,KH-TH-VN,,,,
276,1966.240314,MtCO2e,KH-TH-VN,,,,
277,0,MtCO2e,KH-TH-VN,,,,
278,594.674745,MtCO2e,KH-TH-VN,,,,
279,1189.34949,MtCO2e,KH-TH-VN,,,,
280,1784.024235,MtCO2e,KH-TH-VN,,,,
281,2378.69898,MtCO2e,KH-TH-VN,,,,
282,2973.373725,MtCO2e,KH-TH-VN,,,,
283,3568.04847,MtCO2e,KH-TH-VN,,,,
284,4162.723215,MtCO2e,KH-TH-VN,,,,
285,4757.39796,MtCO2e,KH-TH-VN,,,,
,1856.583704,MtCO2e,TH_LA_KH_AUT,,,,
,928.2918519,MtCO2e,TH_LA_KH_AUT,,,,
,0,MtCO2e,TH_LA_KH_AUT,,,,
,288.2653163,MtCO2e,TH_LA_KH_AUT,,,,
,576.5306325,MtCO2e,TH_LA_KH_AUT,,,,
,864.7959488,MtCO2e,TH_LA_KH_AUT,,,,
,1153.061265,MtCO2e,TH_LA_KH_AUT,,,,
,1441.326581,MtCO2e,TH_LA_KH_AUT,,,,
,1729.591898,MtCO2e,TH_LA_KH_AUT,,,,
,2017.857214,MtCO2e,TH_LA_KH_AUT,,,,
,2306.12253,MtCO2e,TH_LA_KH_AUT,,,,
,1856.583704,MtCO2e,TH_LA_KH_Collab,,,,
,928.2918519,MtCO2e,TH_LA_KH_Collab,,,,
,0,MtCO2e,TH_LA_KH_Collab,,,,
,288.2653163,MtCO2e,TH_LA_KH_Collab,,,,
,576.5306325,MtCO2e,TH_LA_KH_Collab,,,,
,864.7959488,MtCO2e,TH_LA_KH_Collab,,,,
,1153.061265,MtCO2e,TH_LA_KH_Collab,,,,
,1441.326581,MtCO2e,TH_LA_KH_Collab,,,,
,1729.591898,MtCO2e,TH_LA_KH_Collab,,,,
,2017.857214,MtCO2e,TH_LA_KH_Collab,,,,
,2306.12253,MtCO2e,TH_LA_KH_Collab,,,,
,3972.120575,MtCO2e,VN_TH_LA_KH_AUT,,,,
,1986.060288,MtCO2e,VN_TH_LA_KH_AUT,,,,
,0,MtCO2e,VN_TH_LA_KH_AUT,,,,
,602.2434038,MtCO2e,VN_TH_LA_KH_AUT,,,,
,1204.486808,MtCO2e,VN_TH_LA_KH_AUT,,,,
,1806.730211,MtCO2e,VN_TH_LA_KH_AUT,,,,
,2408.973615,MtCO2e,VN_TH_LA_KH_AUT,,,,
,3011.217019,MtCO2e,VN_TH_LA_KH_AUT,,,,
,3613.460423,MtCO2e,VN_TH_LA_KH_AUT,,,,
,4215.703826,MtCO2e,VN_TH_LA_KH_AUT,,,,
,4817.94723,MtCO2e,VN_TH_LA_KH_AUT,,,,
,3972.120575,MtCO2e,VN_TH_LA_KH_Collab,,,,
,1986.060288,MtCO2e,VN_TH_LA_KH_Collab,,,,
,0,MtCO2e,VN_TH_LA_KH_Collab,,,,
,602.2434038,MtCO2e,VN_TH_LA_KH_Collab,,,,
,1204.486808,MtCO2e,VN_TH_LA_KH_Collab,,,,
,1806.730211,MtCO2e,VN_TH_LA_KH_Collab,,,,
,2408.973615,MtCO2e,VN_TH_LA_KH_Collab,,,,
,3011.217019,MtCO2e,VN_TH_LA_KH_Collab,,,,
,3613.460423,MtCO2e,VN_TH_LA_KH_Collab,,,,
,4215.703826,MtCO2e,VN_TH_LA_KH_Collab,,,,
,4817.94723,MtCO2e,VN_TH_LA_KH_Collab,,,,
,282.2271417,MtCO2e,LA_KH_AUT,,,,
,188.1514278,MtCO2e,LA_KH_AUT,,,,
,94.07571392,MtCO2e,LA_KH_AUT,,,,
,0,MtCO2e,LA_KH_AUT,,,,
,47.10939,MtCO2e,LA_KH_AUT,,,,
,94.21878,MtCO2e,LA_KH_AUT,,,,
,141.32817,MtCO2e,LA_KH_AUT,,,,
,188.43756,MtCO2e,LA_KH_AUT,,,,
,235.54695,MtCO2e,LA_KH_AUT,,,,
,282.65634,MtCO2e,LA_KH_AUT,,,,
,329.76573,MtCO2e,LA_KH_AUT,,,,
,282.2271417,MtCO2e,LA_KH_Collab,,,,
,188.1514278,MtCO2e,LA_KH_Collab,,,,
,94.07571392,MtCO2e,LA_KH_Collab,,,,
,0,MtCO2e,LA_KH_Collab,,,,
,47.10939,MtCO2e,LA_KH_Collab,,,,
,94.21878,MtCO2e,LA_KH_Collab,,,,
,141.32817,MtCO2e,LA_KH_Collab,,,,
,188.43756,MtCO2e,LA_KH_Collab,,,,
,235.54695,MtCO2e,LA_KH_Collab,,,,
,282.65634,MtCO2e,LA_KH_Collab,,,,
,329.76573,MtCO2e,LA_KH_Collab,,,,
,2303.688299,MtCO2e,VN-LA-KH_Collab,,,,
,1151.84415,MtCO2e,VN-LA-KH_Collab,,,,
,0,MtCO2e,VN-LA-KH_Collab,,,,
,355.1988038,MtCO2e,VN-LA-KH_Collab,,,,
,710.3976075,MtCO2e,VN-LA-KH_Collab,,,,
,1065.596411,MtCO2e,VN-LA-KH_Collab,,,,
,1420.795215,MtCO2e,VN-LA-KH_Collab,,,,
,1775.994019,MtCO2e,VN-LA-KH_Collab,,,,
,2131.192823,MtCO2e,VN-LA-KH_Collab,,,,
,2486.391626,MtCO2e,VN-LA-KH_Collab,,,,
,2841.59043,MtCO2e,VN-LA-KH_Collab,,,,
,118.7891008,MtCO2e,BN_AUT,,,,
,98.9909173,MtCO2e,BN_AUT,,,,
,79.19273384,MtCO2e,BN_AUT,,,,
,59.39455038,MtCO2e,BN_AUT,,,,
,39.59636692,MtCO2e,BN_AUT,,,,
,19.79818346,MtCO2e,BN_AUT,,,,
,0,MtCO2e,BN_AUT,,,,
,33.69516868,MtCO2e,BN_AUT,,,,
,67.39033735,MtCO2e,BN_AUT,,,,
,101.085506,MtCO2e,BN_AUT,,,,
,134.7806747,MtCO2e,BN_AUT,,,,
,242.7817103,MtCO2e,MA_AUT,,,,
,0,MtCO2e,MA_AUT,,,,
,34.36439077,MtCO2e,MA_AUT,,,,
,68.72878154,MtCO2e,MA_AUT,,,,
,103.0931723,MtCO2e,MA_AUT,,,,
,137.4575631,MtCO2e,MA_AUT,,,,
,171.8219538,MtCO2e,MA_AUT,,,,
,206.1863446,MtCO2e,MA_AUT,,,,
,240.5507354,MtCO2e,MA_AUT,,,,
,274.9151262,MtCO2e,MA_AUT,,,,
,309.2795169,MtCO2e,MA_AUT,,,,
,113.5199292,MtCO2e,KE_AUT,,,,
,75.67995278,MtCO2e,KE_AUT,,,,
,37.83997639,MtCO2e,KE_AUT,,,,
,0,MtCO2e,KE_AUT,,,,
,19.45515905,MtCO2e,KE_AUT,,,,
,38.91031811,MtCO2e,KE_AUT,,,,
,58.36547716,MtCO2e,KE_AUT,,,,
,77.82063622,MtCO2e,KE_AUT,,,,
,97.27579527,MtCO2e,KE_AUT,,,,
,116.7309543,MtCO2e,KE_AUT,,,,
,136.1861134,MtCO2e,KE_AUT,,,,
,763.0838606,MtCO2e,ZA_AUT,,,,
,0,MtCO2e,ZA_AUT,,,,
,112.6576464,MtCO2e,ZA_AUT,,,,
,225.3152927,MtCO2e,ZA_AUT,,,,
,337.9729391,MtCO2e,ZA_AUT,,,,
,450.6305855,MtCO2e,ZA_AUT,,,,
