Charging_profile,Unit
0.071360205,GWh/GWh fleet
0.070414632,GWh/GWh fleet
0.070277372,GWh/GWh fleet
0.073617377,GWh/GWh fleet
0.079199304,GWh/GWh fleet
0.083927165,GWh/GWh fleet
0.091796767,GWh/GWh fleet
0.095701065,GWh/GWh fleet
0.098446275,GWh/GWh fleet
0.098293764,GWh/GWh fleet
0.097393945,GWh/GWh fleet
0.098736047,GWh/GWh fleet
0.098781801,GWh/GWh fleet
0.098598787,GWh/GWh fleet
0.098034494,GWh/GWh fleet
0.094999512,GWh/GWh fleet
0.09236106,GWh/GWh fleet
0.092833846,GWh/GWh fleet
0.091354483,GWh/GWh fleet
0.088350003,GWh/GWh fleet
0.084003421,GWh/GWh fleet
0.080480402,GWh/GWh fleet
0.075493271,GWh/GWh fleet
0.073830894,GWh/GWh fleet
0.07181774,GWh/GWh fleet
0.071085684,GWh/GWh fleet
0.070704405,GWh/GWh fleet
0.071771986,GWh/GWh fleet
0.074379936,GWh/GWh fleet
0.076743866,GWh/GWh fleet
0.083195109,GWh/GWh fleet
0.087602696,GWh/GWh fleet
0.090286901,GWh/GWh fleet
0.090195395,GWh/GWh fleet
0.088655027,GWh/GWh fleet
0.088227994,GWh/GWh fleet
0.087434933,GWh/GWh fleet
0.08621484,GWh/GWh fleet
0.085254017,GWh/GWh fleet
0.084445705,GWh/GWh fleet
0.083942417,GWh/GWh fleet
0.085543789,GWh/GWh fleet
0.085650547,GWh/GWh fleet
0.084613468,GWh/GWh fleet
0.080739672,GWh/GWh fleet
0.077811448,GWh/GWh fleet
0.076393089,GWh/GWh fleet
0.072260024,GWh/GWh fleet
0.070567144,GWh/GWh fleet
0.069347051,GWh/GWh fleet
0.06907253,GWh/GWh fleet
0.069621572,GWh/GWh fleet
0.071314451,GWh/GWh fleet
0.071909247,GWh/GWh fleet
0.07575254,GWh/GWh fleet
0.078787522,GWh/GWh fleet
0.081380221,GWh/GWh fleet
0.081746249,GWh/GWh fleet
0.081547983,GWh/GWh fleet
0.082173281,GWh/GWh fleet
0.082112277,GWh/GWh fleet
0.082173281,GWh/GWh fleet
0.081685244,GWh/GWh fleet
0.081349718,GWh/GWh fleet
0.082951091,GWh/GWh fleet
0.085391277,GWh/GWh fleet
0.08555904,GWh/GWh fleet
0.084918491,GWh/GWh fleet
0.080510904,GWh/GWh fleet
0.076896378,GWh/GWh fleet
0.074623954,GWh/GWh fleet
0.070795912,GWh/GWh fleet
0.069606321,GWh/GWh fleet
0.068752255,GWh/GWh fleet
0.068920018,GWh/GWh fleet
0.072229521,GWh/GWh fleet
0.078055467,GWh/GWh fleet
0.083805156,GWh/GWh fleet
0.091125716,GWh/GWh fleet
0.095609558,GWh/GWh fleet
0.097866731,GWh/GWh fleet
0.098156503,GWh/GWh fleet
0.097317689,GWh/GWh fleet
0.098720796,GWh/GWh fleet
